Stage,Date,Distance,Origin,Destination,Type,Winner,Winner_Country,Year,rider_name,Gen_type,birth_date,birth_city
11b,1970-07-07,139.5,Divonne-les-Bains,Thonon-les-Bains,Stage with mountain(s),Marino Basso,ITA,1970,Marino_Basso,Mountain stage,1945-06-01,Caldogno
12,1970-07-08,194.0,Thonon-les-Bains,Grenoble,Stage with mountain(s),Eddy Merckx,BEL,1970,Eddy_Merckx,Mountain stage,1945-06-17,Meensel-Kiezegem
13,1970-07-09,194.5,Grenoble,Gap,Stage with mountain(s),Primo Mori,ITA,1970,Primo_Mori,Mountain stage,1944-04-07,San Miniato
14,1970-07-10,170.0,Gap,Mont Ventoux,Stage with mountain(s),Eddy Merckx,BEL,1970,Eddy_Merckx,Mountain stage,1945-06-17,Meensel-Kiezegem
15,1970-07-11,140.5,Carpentras,Montpellier,Plain stage,Marinus Wagtmans,NED,1970,Marinus_Wagtmans,Flat stage,1946-12-26,Rucphen
16,1970-07-12,160.0,Montpellier,Toulouse,Plain stage,Albert Van Vlierberghe,BEL,1970,Albert_Van_Vlierberghe,Flat stage,1942-03-18,Belsele
17,1970-07-13,190.0,Toulouse,Saint-Gaudens,Plain stage,Luis Ocaña,ESP,1970,Luis_Ocaña,Flat stage,1945-06-09,Priego
18,1970-07-14,135.5,Saint-Gaudens,La Mongie,Stage with mountain(s),Bernard Thévenet,FRA,1970,Bernard_Thévenet,Mountain stage,1948-01-10,Saint-Julien-de-Civry
19,1970-07-15,185.5,Bagnères-de-Bigorre,Mourenx,Stage with mountain(s),Christian Raymond,FRA,1970,Christian_Raymond,Mountain stage,,
20a,1970-07-16,223.5,Mourenx,Bordeaux,Plain stage,Rolf Wolfshohl,FRG,1970,Rolf_Wolfshohl,Flat stage,1938-12-27,Cologne
20b,1970-07-16,8.2,Bordeaux,Bordeaux,Individual time trial,Eddy Merckx,BEL,1970,Eddy_Merckx,Time trial,1945-06-17,Meensel-Kiezegem
21,1970-07-17,191.5,Ruffec,Tours,Plain stage,Marino Basso,ITA,1970,Marino_Basso,Flat stage,1945-06-01,Caldogno
22,1970-07-18,238.5,Tours,Versailles,Plain stage,Jean-Pierre Danguillaume,FRA,1970,Jean-Pierre_Danguillaume,Flat stage,1946-05-25,Joué-lès-Tours
23,1970-07-19,54.0,Versailles,Paris,Individual time trial,Eddy Merckx,BEL,1970,Eddy_Merckx,Time trial,1945-06-17,Meensel-Kiezegem
P,1969-06-28,10.0,Roubaix,Roubaix,Individual time trial,Rudi Altig,GER,1969,Rudi_Altig,Time trial,1937-03-18,Mannheim
